scholarship_name,deadline,degree,university_name,level,country
University of British Columbia International Major Entrance Scholarships in Canada,23 Mar 2024,"Business & Management,Computer Science & IT,Religion & Ethics",University of British Columbia,Undergraduate programs,Canada
PEO International Peace Scholarship Pakistan,01 May 2024,"Art & Design,Computer Science & IT,Medical & Pharmacy",PEO International Peace Scholarship,Post graduate (masters and PhD),Canada
Georgian College International Student Leadership Awards in Canada,15 Feb 2024,"Engineering&Technology,Business & Management,Social Sciences",Georgian College,Undergraduate or Graduate,Canada
Application From For APP -2024-10 MAS ,01 Feb 2024,"Computer Science & IT,Medical & Pharmacy,Education",University of Windsor,Mechanical Engineering,Canada
University of British Columbia International Major Entrance Scholarships in Canada,15 Jan 2024,"Art & Design,Business & Management,Religion & Ethics",University of British Columbia,Undergraduate programs,Canada
UBC Outstanding International Student Award in Canada,15 Jan 2024,"Business & Management,Medical & Pharmacy,Education",University of British Columbia,Undergraduate,Canada
University of British Columbia International Major Entrance Scholarships in Canada,15 Jan 2024,"Art & Design,Business & Management,Medical & Pharmacy",University of British Columbia,Undergraduate programs,Canada
CIBC Inclusion Scholarship Program in Canada Play Video,01 May 2024,"Business & Management,Computer Science & IT,Social Sciences",CIBC (Canadian Imperial Bank of Commerce),Bachelor’s,Canada
Georgian College International Student Leadership Awards in Canada,15 Feb 2024,"Business & Management,Computer Science & IT,Medical & Pharmacy",Georgian College,Undergraduate or Graduate,Canada
New Engineering Brighter Future Award of Excellence for International Students in Canada,01 Feb 2024,"Business & Management,Computer Science & IT,Medical & Pharmacy",McMaster University,Bachelor,Canada
Funded PhD and Master Positions in Canada,01 Jan 2024,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy",Simon Fraser University,PHD,Canada
PEO International Peace Scholarship Pakistan,15 Dec 2023,"Art & Design,Computer Science & IT,Religion & Ethics",PEO,post graduate (masters and PhD),USA/ Canada 
Georgian College International Student Leadership Awards in Canada,15 Feb 2024,"Art & Design,Business & Management,Computer Science & IT",Georgian College,Undergraduate or Graduate,Canada
New Engineering Brighter Future Award of Excellence for International Students in Canada,21 Feb 2024,"Art & Design,Engineering&Technology,Business & Management,Medical & Pharmacy,Religion & Ethics",McMaster University,Bachelor,Canada
New Engineering Brighter Future Award of Excellence for International Students in Canada,21 Feb 2024,"Business & Management,Computer Science & IT,Medical & Pharmacy",McMaster University,Bachelor,Canada
Occupational Balance Scholarship at Laval University 2023,26 Nov 2023,"Social Sciences,Applied & Pure Sciences",Laval University ,Bachelors,Canada
CNR Building Futures Scholarship 2023,15 Dec 2023,"Engineering&Technology,Computer Science & IT",Canadian Natural Resources (CNR),"Bachelors, Masters",Canada
Emerging Leaders in the Americas Program 2023,31 Dec 2023,"Social Sciences,Applied & Pure Sciences",Government of Canada,"Bachelors, Masters, PhD",Canada
"Fully Funded Lester B. Pearson Scholarship, Canada",30 Nov 2023,"Engineering&Technology,Business & Management,Computer Science & IT,Social Sciences",University of Toronto,Undergradaute,Canada
Lester B. Pearson International Scholarship Program at University of Toronto,30 Nov 2023,"Social Sciences,Applied & Pure Sciences",University of Toronto,Bachelors,Canada
Think Big About Law and Justice Postgraduate International Scholarships in UK,20 Apr 2024,"Engineering&Technology,Business & Management,Religion & Ethics",University of Bristol,Postgraduate (LLM qualification),UK
Bioscience Futures Scholarship for International Students in UK,31 May 2024,"Business & Management,Education,Religion & Ethics",Imperial College London,Postgraduate taught,UK
Chevening Scholarship 2024 For Pakistani Students,07 Sep 2024,"Engineering&Technology,Computer Science & IT,Religion & Ethics",Chevening Scholarship,Masters in any field,UK
Heriot-Watt University MSc Actuarial Science International Scholarships in UK,17 Apr 2024,"Business & Management,Medical & Pharmacy,Social Sciences",Heriot-Watt University,Postgraduate,UK
"International PhD Informatics Scholarship in Quantum Computing Theory or Software Systems, UK",31 May 2024,"Computer Science & IT,Medical & Pharmacy,Tourism & Hospitality",University of Sussex,PHD,UK
SHU Transform Together Scholarship for International Students ,31 May 2024,"Computer Science & IT,Education,Religion & Ethics",Sheffield Hallam University ,Scholarships are available for under graduate and post graduate study programs,UK
"Faculty of Science International Masters Scholarship for Physics, UK",31 Jul 2024,"Computer Science & IT,Medical & Pharmacy,Education",University of Strathclyde,Postgraduate Taught,UK
Bioscience Futures Scholarship for International Students in UK,31 May 2024,"Engineering&Technology,Medical & Pharmacy,Tourism & Hospitality",Imperial College London,Postgraduate taught,UK
University Of Nottingham Scholarship,17 May 2024,"Business & Management,Religion & Ethics,Social Sciences",University of Nottingham  ,Scholarships are available for master study programs,UK
UCL IMPACT Scholarships for International Students in UK,04 May 2024,"Engineering&Technology,Business & Management,Medical & Pharmacy",UCL (University College London),Master of Public Health (MPH),UK
Chevening Scholarship 2024 For Pakistani Students,07 Nov 2024,"Engineering&Technology,Computer Science & IT,Social Sciences",Chevening Scholarship,Masters,UK
School of Social & Political Sciences PhD International Scholarships in UK,31 Mar 2024,"Art & Design,Business & Management,Computer Science & IT",University of Glasgow,PHD,UK
Heriot-Watt University MSc Actuarial Science International Scholarships in UK,31 Mar 2024,"Art & Design,Business & Management,Medical & Pharmacy",Heriot-Watt University,Postgraduate,UK
Think Big About Law and Justice Postgraduate International Scholarships in UK,29 Apr 2024,"Art & Design,Computer Science & IT,Education",University of Bristol,Postgraduate (LLM qualification),UK
Charles Wallace Pakistan Trust Scholarship,01 May 2024,"Engineering&Technology,Business & Management,Computer Science & IT",Charles Wallace Scholarship ,Scholarships are available for doctoral and fellowship programs,UK
Northumbria University Instrumental Scholarships in UK,30 Aug 2024,"Engineering&Technology,Computer Science & IT,Education", Northumbria University,Undergraduate,UK
SHU Transform Together Scholarship for International Students ,31 May 2024,"Art & Design,Medical & Pharmacy,Education",Sheffield Hallam University,Scholarships are available for under graduate and post graduate study programs,UK
Heriot-Watt University MSc Actuarial Science International Scholarships in UK,31 Mar 2024,"Computer Science & IT,Medical & Pharmacy,Religion & Ethics",Heriot-Watt University,Postgraduate,UK
"Cardiff University International PhD Scholarships in Chemistry, UK",25 Mar 2024,"Art & Design,Engineering&Technology,Business & Management",Cardiff University,PHD,UK
School of Social & Political Sciences PhD International Scholarships in UK,15 Mar 2024,"Art & Design,Engineering&Technology,Education",University of Glasgow,PHD,UK
Heriot-Watt University MSc Actuarial Science International Scholarships in UK,12 Mar 2024,"Art & Design,Computer Science & IT,Religion & Ethics",Heriot-Watt University,Postgraduate,UK
Think Big About Law and Justice Postgraduate International Scholarships in UK,29 Apr 2024,"Art & Design,Medical & Pharmacy,Religion & Ethics",University of Bristol,Postgraduate (LLM qualification),UK
"Faculty of Science International Masters Scholarship for Physics, UK",31 Jul 2024,"Engineering&Technology,Business & Management,Computer Science & IT",University of Strathclyde,Postgraduate Taught,UK
Commonwealth Scholarship 2024,17 Oct 2024,"Computer Science & IT,Medical & Pharmacy,Religion & Ethics",Scholarships granted in UK top Universities (The list of institutes),Scholarships are available for post graduate and doctorate study programs,UK
SHU Transform Together Scholarship for International Students ,31 May 2024,"Computer Science & IT,Medical & Pharmacy,Education",Sheffield Hallam University,Scholarships are available for under graduate and post graduate study programs,UK
University Of Nottingham Scholarship Program ,17 May 2024,"Engineering&Technology,Computer Science & IT,Education",University of Nottingham  ,Scholarships are available for master study programs,UK
Charles Wallace Pakistan Trust Scholarship,01 May 2024,"Business & Management,Medical & Pharmacy,Education",Charles Wallace Scholarship ,Scholarships are available for doctoral and fellowship programs,UK
Northumbria University Instrumental Scholarships in UK,30 Aug 2024,"Business & Management,Computer Science & IT,Medical & Pharmacy",Northumbria University,Undergraduate,UK
Charles Wallace Pakistan Trust Scholarship ,01 May 2024,"Art & Design,Business & Management,Medical & Pharmacy",Charles Wallace Scholarship,Scholarships are available for doctoral and fellowship programs,UK
Northumbria University Instrumental Scholarships in UK,30 Aug 2024,"Engineering&Technology,Business & Management,Computer Science & IT",Northumbria University,Undergraduate,UK
